"","area","year","con","eduhe","fin","gov","inf","lehos","man","ml","oser","probu","total","ttu"
"63","Pittsfield","2018",2.1,9.2,1.9,5.4,0.5,5.4,3.1,NA,1.7,4.8,41.1,6.9
"64","Rochester","2016",19.9,125.4,22.4,78.9,8.6,47.7,58.1,0.6,19.2,69,533.4,83.8
"65","Rochester","2017",20.5,128.4,21.8,79.1,8.1,47.5,56.8,0.7,19.2,69.2,535,84
"66","Rochester","2018",21.1,130.8,22,79.9,8,46.9,56.6,0.6,19.2,69.6,538.6,84
"67","Springfield","2016",11,79.5,16.6,63.2,3.4,30.7,28.9,NA,13,26.4,332.5,59.7
"68","Springfield","2017",11.6,81.2,16.4,62.5,3.3,31,29,NA,12.9,27.1,334.9,60
"69","Springfield","2018",11.6,82.1,16.5,62.2,3.3,32,28.9,NA,12.9,27,336.8,60.2
"70","Syracuse","2016",12.9,62.1,15.4,57.4,4.6,30.1,24.9,NA,12.1,33.4,316.6,63.7
"71","Syracuse","2017",12.9,62.4,14.8,57.5,4.6,30,25.5,NA,12.3,34.8,317.1,62.4
"72","Syracuse","2018",13.5,63.3,14.4,58.1,4.5,30,26,NA,12.1,36.1,320,61.9
"73","Utica-Rome","2016",3.2,27.5,7,31.5,1.8,10.8,11.4,NA,4.9,8.3,127.3,21.1
"74","Utica-Rome","2017",3.3,28.2,6.9,31.6,1.7,10.9,11.5,NA,4.9,8.2,128.4,21.2
"75","Utica-Rome","2018",3.4,28.7,6.9,31.8,1.6,10.8,11.4,NA,4.8,8.2,128.5,20.8
"76","Waterbury","2016",2.7,17.3,2,10.6,0.6,5.7,7.7,NA,2.6,5.5,67.7,13.1
"77","Waterbury","2017",2.7,17.3,2,10.7,0.6,5.7,7.7,NA,2.6,5.6,67.8,12.9
"78","Waterbury","2018",3,17.8,2.1,10.6,0.6,5.9,7.8,NA,2.6,5.5,68.9,13.1
"79","Watertown-Fort Drum","2016",1.8,6.6,1.2,12,0.7,4.8,2.2,NA,2,2.5,42.4,8.8
"80","Watertown-Fort Drum","2017",1.7,6.7,1.3,11.9,0.6,4.9,2.1,NA,2,2.5,42.2,8.6
"81","Watertown-Fort Drum","2018",1.8,6.7,1.3,12,0.6,4.8,2.1,NA,2,2.4,42.1,8.4
"82","Worcester","2016",10.6,66.3,14.9,43.2,3.9,24.9,27.8,NA,10.9,27.7,283.4,53.3
"83","Worcester","2017",11,67.9,14.8,43.4,3.7,25.5,27.4,NA,10.9,28.3,286.4,53.5
"84","Worcester","2018",11.4,68.2,14.7,43.9,3.5,25.5,27.8,NA,10.9,28.1,286.9,52.9
